Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sale Price,Opening Stock,Barcode,Discount Type,Discount
Sick Rezar,NA,,,pc,50,Local,,41.66,NA 0%,0.00,Inclusive,45,0,,Percentage,0
Fear Khata,NA,,,pc,50,Local,,38,NA 0%,0.00,Inclusive,45,0,,Percentage,0
Pen,NA,,,pc,50,Local,,4.16,NA 0%,0.00,Inclusive,5,133,,Percentage,0
Lux 100 mg ,NA,,,pc,50,Local,,51.48,NA 0%,0.00,Inclusive,58,108,,Percentage,0
While Saban,NA,,,pc,50,Local,,27,NA 0%,0.00,Inclusive,30,110,,Percentage,0
Vim Bar,NA,,,pc,50,Local,,35,NA 0%,0.00,Inclusive,40,28,,Percentage,0
Cost Tep ,NA,,,pc,50,Local,,10,NA 0%,0.00,Inclusive,12,12,,Percentage,0
Closup 45 mg,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,69,,Percentage,0
Tibbot Powder,NA,,,pc,50,Local,,50,NA 0%,0.00,Inclusive,55,6,,Percentage,0
Night Guard Coel,NA,,,pc,50,Local,,32.66,NA 0%,0.00,Inclusive,40,58,,Percentage,0
Ors  Salain,NA,,,pc,50,Local,,4.9,NA 0%,0.00,Inclusive,6,325,,Percentage,0
Fair Handsom,NA,,,pc,50,Local,,170,NA 0%,0.00,Inclusive,190,6,,Percentage,0
Clean-Clear,NA,,,pc,50,Local,,280,NA 0%,0.00,Inclusive,297,4,,Percentage,0
Nil,NA,,,pc,50,Local,,28.33,NA 0%,0.00,Inclusive,35,7,,Percentage,0
Brush,NA,,,pc,50,Local,,16.66,NA 0%,0.00,Inclusive,20,22,,Percentage,0
Box Tesu,NA,,,pc,50,Local,,65,NA 0%,0.00,Inclusive,80,48,,Percentage,0
Nepthen Tesu,NA,,,pc,50,Local,,47.6,NA 0%,0.00,Inclusive,60,61,,Percentage,0
Blue- 2 Rezer,NA,,,pc,50,Local,,40.28,NA 0%,0.00,Inclusive,45,36,,Percentage,0
Super Glue,NA,,,pc,50,Local,,15,NA 0%,0.00,Inclusive,20,9,,Percentage,0
Sun Light Battery,NA,,,pc,50,Local,,14.58,NA 0%,0.00,Inclusive,20,14,,Percentage,0
Lifeboy Saban,NA,,,pc,50,Local,,46,NA 0%,0.00,Inclusive,55,62,,Percentage,0
Prepsodent Big,NA,,,pc,50,Local,,153.88,NA 0%,0.00,Inclusive,165,36,,Percentage,0
Prepsodent Small,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,71,,Percentage,0
Cotton Bar,NA,,,pc,50,Local,,31.66,NA 0%,0.00,Inclusive,35,8,,Percentage,0
Rin 500 mg,NA,,,pc,50,Local,,76.66,NA 0%,0.00,Inclusive,85,51,,Percentage,0
Lemon 200 mg,NA,,,pc,50,Local,,28.2,NA 0%,0.00,Inclusive,30,132,,Percentage,0
Cd Marker,NA,,,pc,50,Local,,16.66,NA 0%,0.00,Inclusive,20,13,,Percentage,0
Steel Scel,NA,,,pc,50,Local,,20.83,NA 0%,0.00,Inclusive,25,8,,Percentage,0
Clip bord  ,NA,,,pc,50,Local,,80,NA 0%,0.00,Inclusive,90,9,,Percentage,0
Khata 124,NA,,,pc,50,Local,,40,NA 0%,0.00,Inclusive,50,7,,Percentage,0
Gel Pen,NA,,,pc,50,Local,,9,NA 0%,0.00,Inclusive,10,40,,Percentage,0
I ka Glue,NA,,,pc,50,Local,,6.66,NA 0%,0.00,Inclusive,8,5,,Percentage,0
A4 Paper Sundarban,NA,,,pc,50,Local,,360,NA 0%,0.00,Inclusive,400,500,,Percentage,0
Pencil,NA,,,pc,50,Local,,7.5,NA 0%,0.00,Inclusive,10,24,,Percentage,0
Metordor Pen,NA,,,pc,50,Local,,4.17,NA 0%,0.00,Inclusive,5,48,,Percentage,0
32 mm Tala,NA,,,pc,50,Local,,41.66,NA 0%,0.00,Inclusive,45,12,,Percentage,0
32 mm Gol tala,NA,,,pc,50,Local,,45,NA 0%,0.00,Inclusive,50,10,,Percentage,0
Light 8670,NA,,,pc,50,Local,,70,NA 0%,0.00,Inclusive,80,12,,Percentage,0
Nilcater ,NA,,,pc,50,Local,,19.16,NA 0%,0.00,Inclusive,25,12,,Percentage,0
Tupi,NA,,,pc,50,Local,,110,NA 0%,0.00,Inclusive,120,6,,Percentage,0
Alif Ator,NA,,,pc,50,Local,,62.5,NA 0%,0.00,Inclusive,70,2,,Percentage,0
Stepler,NA,,,pc,50,Local,,90,NA 0%,0.00,Inclusive,100,0,,Percentage,0
Stepler Pin,NA,,,pc,50,Local,,22.5,NA 0%,0.00,Inclusive,25,19,,Percentage,0
